;UF;city;Lat;Long;height;availability;availability time
5011;TO;Sítio Novo do Tocantins;-5.6;-47.64;0.0;99.999;5.0
5012;BA;Sobradinho;-9.455;-40.75;419.0;99.999;5.0
5013;RS;Sobradinho;-29.421;-53.03;0.0;99.999;5.0
5014;PB;Sobrado;-7.145;-35.24;0.0;99.998;11.0
5015;CE;Sobral;-3.686;-40.35;160.0;99.999;5.0
5016;MG;Sobrália;-19.235;-42.1;219.0;99.999;5.0
5017;SP;Socorro;-22.6;-46.5;219.0;99.999;5.0
5018;PI;Socorro do Piauí;-7.756;-42.49;816.0;99.999;5.0
5019;PB;Solânea;-6.756;-35.5;0.0;99.998;11.0
5020;PB;Soledade;-7.057;-36.36;983.0;99.999;5.0
5021;RS;Soledade;-28.755;-52.5;0.0;99.999;5.0
5022;MG;Soledade de Minas;-22.06;-45.05;0.0;99.999;5.0
5023;PE;Solidão;-7.6;-37.65;0.0;99.999;5.0
5024;CE;Solonópole;-5.753;-39.01;202.0;99.999;5.0
5025;SC;Sombrio;-29.114;-49.62;0.0;99.999;5.0
5026;MS;Sonora;-17.6;-54.76;578.0;99.999;5.0
5027;ES;Sooretama;-19.197;-40.1;80.0;99.998;11.0
5028;SP;Sorocaba;-23.5;-47.46;550.0;99.999;5.0
5029;MT;Sorriso;-12.5;-55.71;0.0;99.999;5.0
5030;PB;Sossêgo;-6.757;-36.25;0.0;99.999;5.0
5031;PA;Soure;-0.752;-48.5;3.0;99.998;11.0
5032;PB;Sousa;-6.756;-38.23;0.0;99.999;5.0
5033;BA;Souto Soares;-12.089;-41.64;799.0;99.999;5.0
5034;TO;Sucupira;-11.993;-48.97;238.0;99.999;5.0
5035;MA;Sucupira do Norte;-6.477;-44.19;210.0;99.999;5.0
5036;MA;Sucupira do Riachão;-6.411;-43.5;284.0;99.999;5.0
5037;SP;Sud Mennucci;-20.691;-50.92;420.0;99.999;5.0
5038;SC;Sul Brasil;-26.754;-52.96;0.0;99.999;5.0
5039;PR;Sulina;-25.75;-52.72;459.0;99.999;5.0
5040;SP;Sumaré;-22.755;-47.27;598.0;99.999;5.0
5041;PB;Sumé;-7.672;-36.76;0.0;99.999;5.0
5042;RJ;Sumidouro;-22.05;-42.67;578.0;99.999;5.0
5043;PE;Surubim;-7.755;-35.75;0.0;99.999;5.0
5044;PI;Sussuapara;-7.043;-41.38;251.0;99.999;5.0
5045;SP;Suzanápolis;-20.5;-51.02;342.0;99.999;5.0
5046;SP;Suzano;-23.5;-46.31;788.0;99.999;5.0
5047;RS;Tabaí;-29.643;-51.68;0.0;99.999;5.0
5048;MT;Tabaporã;-11.228;-56.75;0.0;99.999;5.0
5049;SP;Tabapuã;-20.964;-49.03;487.0;99.999;5.0
5050;AM;Tabatinga;-4.253;-69.94;0.0;99.999;5.0
5051;SP;Tabatinga;-21.752;-48.69;522.0;99.999;5.0
5052;PE;Tabira;-7.6;-37.5;0.0;99.999;5.0
5053;SP;Taboão da Serra;-23.626;-46.79;788.0;99.999;5.0
5054;BA;Tabocas do Brejo Velho;-12.751;-44.01;826.0;99.999;5.0
5055;RN;Taboleiro Grande;-5.93;-38.05;0.0;99.999;5.0
5056;MG;Tabuleiro;-21.359;-43.25;0.0;99.999;5.0
5057;CE;Tabuleiro do Norte;-5.247;-38.13;472.0;99.999;5.0
5058;PE;Tacaimbó;-8.316;-36.29;0.0;99.999;5.0
5059;PE;Tacaratu;-9.105;-38.15;0.0;99.999;5.0
5060;SP;Taciba;-22.39;-51.28;456.0;99.999;5.0
5061;PB;Tacima;-6.488;-35.64;0.0;99.999;5.0
5062;MS;Tacuru;-23.633;-55.02;0.0;99.999;5.0
5063;SP;Taguaí;-23.452;-49.41;546.0;99.999;5.0
5064;TO;Taguatinga;-12.404;-46.44;411.0;99.999;5.0
5065;SP;Taiaçu;-21.144;-48.5;568.0;99.999;5.0
5066;PA;Tailândia;-2.947;-48.95;61.0;99.999;5.0
5067;SC;Taió;-27.116;-50.0;867.0;99.999;5.0
5068;MG;Taiobeiras;-15.755;-42.23;0.0;99.999;5.0
5069;TO;Taipas do Tocantins;-12.188;-46.99;612.0;99.999;5.0
5070;RN;Taipu;-5.622;-35.6;0.0;99.998;11.0
5071;SP;Taiúva;-21.124;-48.45;628.0;99.999;5.0
5072;TO;Talismã;-12.76;-49.09;293.0;99.999;5.0
5073;PE;Tamandaré;-8.756;-35.1;0.0;99.997;16.0
5074;PR;Tamarana;-23.752;-51.1;836.0;99.999;5.0
5075;SP;Tambaú;-21.751;-47.27;813.0;99.999;5.0
5076;PR;Tamboara;-23.25;-52.47;410.0;99.999;5.0
5077;CE;Tamboril;-4.755;-40.32;358.0;99.999;5.0
5078;PI;Tamboril do Piauí;-8.4;-42.91;378.0;99.999;5.0
5079;SP;Tanabi;-20.626;-49.65;546.0;99.999;5.0
5080;RN;Tangará;-6.199;-35.75;0.0;99.999;5.0
5081;SC;Tangará;-27.105;-51.25;0.0;99.999;5.0
5082;MT;Tangará da Serra;-14.619;-57.49;0.0;99.999;5.0
5083;RJ;Tanguá;-22.753;-42.71;59.0;99.998;11.0
5084;BA;Tanhaçu;-14.021;-41.25;332.0;99.999;5.0
5085;AL;Tanque d'Arca;-9.5;-36.43;0.0;99.998;11.0
5086;PI;Tanque do Piauí;-6.6;-42.28;380.0;99.999;5.0
5087;BA;Tanque Novo;-13.5;-42.49;804.0;99.999;5.0
5088;BA;Tanquinho;-11.979;-39.1;237.0;99.999;5.0
5089;MG;Taparuba;-19.756;-41.62;223.0;99.999;5.0
5090;AM;Tapauá;-5.628;-63.18;0.0;99.999;5.0
